date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,1_day_max,1_day_min,3_day_max,3_day_min,5_day_max,5_day_min,day_of_week
2026-02-25,653.69,653.88,642.14,642.53,11330693,653.1435017318,653.3333428879,641.603157769,641.992831721,11330693,0.0,1.0,639.3,641.11,628.98,633.08,10135647.0,653.88,642.14,657.7,628.98,657.7,628.98,3
2026-02-26,657.01,661.0,647.5,650.55,10637736,656.4607261436,660.4473904216,646.9586766989,650.0061268363,10637736,0.0,1.0,653.69,653.88,642.14,642.53,11330693.0,661.0,647.5,661.0,628.98,661.0,628.98,4
2026-02-27,648.18,649.44,638.12,643.45,15703041,647.6381082049,648.8970548191,637.5865185716,642.9120625821,15703041,0.0,1.0,657.01,661.0,647.5,650.55,10637736.0,649.44,638.12,661.0,638.12,661.0,628.98,5
2026-03-02,653.56,659.94,634.5,637.16,9816125,653.0136104144,659.3882766034,633.969544966,636.6273211513,9816125,0.0,1.0,648.18,649.44,638.12,643.45,15703041.0,659.94,634.5,659.94,634.5,661.0,634.5,1
2026-03-03,655.08,659.04,638.84,648.29,12263754,654.5323396632,658.4890290219,638.3059166368,647.7480162427,12263754,0.0,1.0,653.56,659.94,634.5,637.16,9816125.0,659.04,638.84,659.94,634.5,659.94,634.5,2
2026-03-04,667.73,672.77,657.6711,657.96,10810054,667.1717640033,672.2075504598,657.1212734504,657.409931924,10810054,0.0,1.0,655.08,659.04,638.84,648.29,12263754.0,672.77,657.6711,672.77,634.5,672.77,634.5,3
2026-03-05,660.57,670.7,650.31,661.93,13341367,660.0177499104,670.1392810223,649.7663274812,661.3766129225,13341367,0.0,1.0,667.73,672.77,657.6711,657.96,10810054.0,670.7,650.31,672.77,638.84,672.77,634.5,4
2026-03-06,644.86,649.47,636.11,647.9,13159356,644.3208837931,648.9270297384,635.5781989729,647.3583422907,13159356,0.0,1.0,660.57,670.7,650.31,661.93,13341367.0,649.47,636.11,672.77,636.11,672.77,634.5,5
2026-03-09,647.39,647.75,626.78,634.78,13489742,646.8487686612,647.2084676938,626.2559990445,634.2493108802,13489742,0.0,1.0,644.86,649.47,636.11,647.9,13159356.0,647.75,626.78,647.75,626.78,670.7,626.78,1
2026-03-10,654.07,660.3,649.0,653.56,9859250,653.523184044,659.747975636,648.4574226681,653.0136104144,9859250,0.0,1.0,647.39,647.75,626.78,634.78,13489742.0,660.3,649.0,660.3,626.78,660.3,626.78,2
2026-03-11,654.86,659.12,648.36,654.76,8977162,654.3125235877,658.5689621402,647.8179577212,654.2126071898,8977162,0.0,1.0,654.07,660.3,649.0,653.56,9859250.0,659.12,648.36,660.3,626.78,660.3,626.78,3
2026-03-12,638.18,653.5,636.9,648.75,11617485,637.6464684104,652.9536605757,636.3675385167,648.2076316732,11617485,0.0,1.0,654.86,659.12,648.36,654.76,8977162.0,653.5,636.9,660.3,636.9,660.3,626.78,4
2026-03-13,613.71,629.1699,609.55,623.89,18957637,613.196925833,628.6439010391,609.0404036785,623.3684151439,18957637,0.0,1.0,638.18,653.5,636.9,648.75,11617485.0,629.1699,609.55,659.12,609.55,660.3,609.55,5
2026-03-16,627.45,634.75,623.1004,632.0,15134852,627.45,634.75,623.1004,632.0,15134852,0.525,1.0,613.71,629.1699,609.55,623.89,18957637.0,634.75,623.1004,634.75,623.1004,653.5,609.55,1
2026-03-17,622.66,636.55,621.7,627.985,10348755,622.66,636.55,621.7,627.985,10348755,0.0,1.0,627.45,634.75,623.1004,632.0,15134852.0,636.55,621.7,636.55,621.7,636.55,609.55,2
2026-03-18,615.68,622.65,614.61,616.34,11726301,615.68,622.65,614.61,616.34,11726301,0.0,1.0,622.66,636.55,621.7,627.985,10348755.0,622.65,614.61,636.55,614.61,636.55,614.61,3
