date,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-02-24,0.1565217391304348,0.8058060324710349,0.2608695652173913,0.10434782608695652,0.6347826086956522
2026-02-25,-0.02857142857142857,0.8188030511140824,0.12857142857142856,0.15714285714285714,0.7142857142857143
2026-02-26,-0.13580246913580246,0.7991645435492197,0.14814814814814814,0.2839506172839506,0.5679012345679012
2026-02-27,-0.04838709677419355,0.807244265752454,0.1935483870967742,0.24193548387096775,0.5645161290322581
2026-02-28,-0.22727272727272727,0.8581244024363431,0.09090909090909091,0.3181818181818182,0.5909090909090909
2026-03-01,0.15384615384615385,0.81452398116772,0.23076923076923078,0.07692307692307693,0.6923076923076923
2026-03-02,0.0,0.8195907120351438,0.14814814814814814,0.14814814814814814,0.7037037037037037
2026-03-03,-0.02631578947368421,0.8424080971040224,0.15789473684210525,0.18421052631578946,0.6578947368421053
2026-03-04,0.08333333333333333,0.8075876645743847,0.25,0.16666666666666666,0.5833333333333334
2026-03-05,0.22580645161290322,0.8157067255627725,0.3225806451612903,0.0967741935483871,0.5806451612903226
2026-03-06,-0.14705882352941177,0.7599835588651545,0.20588235294117646,0.35294117647058826,0.4411764705882353
2026-03-07,-0.1111111111111111,0.8501337336169349,0.0,0.1111111111111111,0.8888888888888888
2026-03-08,0.07142857142857142,0.8655983975955418,0.07142857142857142,0.0,0.9285714285714286
2026-03-09,-0.029411764705882353,0.8240073603742263,0.08823529411764706,0.11764705882352941,0.7941176470588235
2026-03-10,0.11940298507462686,0.828273217179882,0.22388059701492538,0.1044776119402985,0.6716417910447762
2026-03-11,0.03571428571428571,0.8093047934983458,0.125,0.08928571428571429,0.7857142857142857
2026-03-12,-0.11320754716981132,0.7848121152733857,0.1509433962264151,0.2641509433962264,0.5849056603773585
2026-03-13,-0.2,0.8524389386177063,0.2,0.4,0.4
2026-03-14,-0.15,0.8595530211925506,0.25,0.4,0.35
2026-03-15,0.10344827586206896,0.8325163886464876,0.27586206896551724,0.1724137931034483,0.5517241379310345
2026-03-16,0.06060606060606061,0.7975583820029942,0.2727272727272727,0.21212121212121213,0.5151515151515151
2026-03-17,-0.03389830508474576,0.8246988285396059,0.15254237288135594,0.1864406779661017,0.6610169491525424
2026-03-18,-0.045454545454545456,0.82362513153842,0.16666666666666666,0.21212121212121213,0.6212121212121212
2026-03-19,-0.14583333333333334,0.8158869997908672,0.08333333333333333,0.22916666666666666,0.6875
2026-03-20,-0.27906976744186046,0.8027826055537822,0.06976744186046512,0.3488372093023256,0.5813953488372093
2026-03-21,0.15384615384615385,0.8257050101573651,0.3076923076923077,0.15384615384615385,0.5384615384615384
2026-03-22,0.2,0.895541650056839,0.3,0.1,0.6
2026-03-23,-0.16279069767441862,0.8351433332576308,0.06976744186046512,0.23255813953488372,0.6976744186046512
2026-03-24,-0.13513513513513514,0.8127942753804697,0.14864864864864866,0.28378378378378377,0.5675675675675675
2026-03-25,-0.2887323943661972,0.8118679112112018,0.09154929577464789,0.38028169014084506,0.528169014084507
2026-03-26,-0.24615384615384617,0.7984366880013393,0.12307692307692308,0.36923076923076925,0.5076923076923077
2026-03-27,-0.11538461538461539,0.8055193447149717,0.14423076923076922,0.25961538461538464,0.5961538461538461
2026-03-28,-0.07142857142857142,0.7828101781862122,0.14285714285714285,0.21428571428571427,0.6428571428571429
2026-03-29,-0.15789473684210525,0.7583979164299212,0.10526315789473684,0.2631578947368421,0.631578947368421
