date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-02-24,639.3,641.11,628.98,633.08,10135647,638.7655320674,640.5740188702,628.4541597994,632.5507321151,10135647,0.0,1.0,637.25,657.7,636.0,652.54,8605909.0,2,0.1458333333333333,0.7990162620941798,0.2291666666666666,0.0833333333333333,0.6875
2026-02-25,653.69,653.88,642.14,642.53,11330693,653.1435017318,653.3333428879,641.603157769,641.992831721,11330693,0.0,1.0,639.3,641.11,628.98,633.08,10135647.0,3,-0.0285714285714285,0.8188030511140824,0.1285714285714285,0.1571428571428571,0.7142857142857143
2026-02-26,657.01,661.0,647.5,650.55,10637736,656.4607261436,660.4473904216,646.9586766989,650.0061268363,10637736,0.0,1.0,653.69,653.88,642.14,642.53,11330693.0,4,-0.1358024691358024,0.7991645435492197,0.1481481481481481,0.2839506172839506,0.5679012345679012
2026-02-27,648.18,649.44,638.12,643.45,15703041,647.6381082049,648.8970548191,637.5865185716,642.9120625821,15703041,0.0,1.0,657.01,661.0,647.5,650.55,10637736.0,5,-0.0483870967741935,0.807244265752454,0.1935483870967742,0.2419354838709677,0.5645161290322581
2026-03-02,653.56,659.94,634.5,637.16,9816125,653.0136104144,659.3882766034,633.969544966,636.6273211513,9816125,0.0,1.0,648.18,649.44,638.12,643.45,15703041.0,1,0.0,0.8195907120351438,0.1481481481481481,0.1481481481481481,0.7037037037037037
2026-03-03,655.08,659.04,638.84,648.29,12263754,654.5323396632,658.4890290219,638.3059166368,647.7480162427,12263754,0.0,1.0,653.56,659.94,634.5,637.16,9816125.0,2,-0.0263157894736842,0.8424080971040224,0.1578947368421052,0.1842105263157894,0.6578947368421053
2026-03-04,667.73,672.77,657.6711,657.96,10810054,667.1717640033,672.2075504598,657.1212734504,657.409931924,10810054,0.0,1.0,655.08,659.04,638.84,648.29,12263754.0,3,0.0833333333333333,0.8075876645743847,0.25,0.1666666666666666,0.5833333333333334
2026-03-05,660.57,670.7,650.31,661.93,13341367,660.0177499104,670.1392810223,649.7663274812,661.3766129225,13341367,0.0,1.0,667.73,672.77,657.6711,657.96,10810054.0,4,0.2258064516129032,0.8157067255627725,0.3225806451612903,0.0967741935483871,0.5806451612903226
2026-03-06,644.86,649.47,636.11,647.9,13159356,644.3208837931,648.9270297384,635.5781989729,647.3583422907,13159356,0.0,1.0,660.57,670.7,650.31,661.93,13341367.0,5,-0.1470588235294117,0.7599835588651545,0.2058823529411764,0.3529411764705882,0.4411764705882353
2026-03-09,647.39,647.75,626.78,634.78,13489742,646.8487686612,647.2084676938,626.2559990445,634.2493108802,13489742,0.0,1.0,644.86,649.47,636.11,647.9,13159356.0,1,-0.0294117647058823,0.8240073603742263,0.088235294117647,0.1176470588235294,0.7941176470588235
2026-03-10,654.07,660.3,649.0,653.56,9859250,653.523184044,659.747975636,648.4574226681,653.0136104144,9859250,0.0,1.0,647.39,647.75,626.78,634.78,13489742.0,2,0.1194029850746268,0.828273217179882,0.2238805970149253,0.1044776119402985,0.6716417910447762
2026-03-11,654.86,659.12,648.36,654.76,8977162,654.3125235877,658.5689621402,647.8179577212,654.2126071898,8977162,0.0,1.0,654.07,660.3,649.0,653.56,9859250.0,3,0.0357142857142857,0.8093047934983458,0.125,0.0892857142857142,0.7857142857142857
