date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2026-04-21T00:00:00.000Z,668.84,676.2,667.33,671.0,8660100,668.84,676.2,667.33,671.0,8660100,0.0,1.0
2026-04-22T00:00:00.000Z,674.72,678.38,669.75,674.355,9215603,674.72,678.38,669.75,674.355,9215603,0.0,1.0
2026-04-23T00:00:00.000Z,659.15,669.56,653.05,663.7,11666981,659.15,669.56,653.05,663.7,11666981,0.0,1.0
2026-04-24T00:00:00.000Z,675.03,680.67,653.8401,660.32,13348279,675.03,680.67,653.8401,660.32,13348279,0.0,1.0
2026-04-27T00:00:00.000Z,678.62,682.5,670.84,670.995,12805222,678.62,682.5,670.84,670.995,12805222,0.0,1.0
2026-04-28T00:00:00.000Z,671.34,678.18,665.625,674.24,10606755,671.34,678.18,665.625,674.24,10606755,0.0,1.0
2026-04-29T00:00:00.000Z,669.12,674.25,663.8084,668.91,18947464,669.12,674.25,663.8084,668.91,18947464,0.0,1.0
2026-04-30T00:00:00.000Z,611.91,620.85,600.0,619.32,52764984,611.91,620.85,600.0,619.32,52764984,0.0,1.0
2026-05-01T00:00:00.000Z,608.745,618.88,606.11,614.69,21404028,608.745,618.88,606.11,614.69,21404028,0.0,1.0
2026-05-04T00:00:00.000Z,610.41,614.0,602.7501,607.935,16203902,610.41,614.0,602.7501,607.935,16203902,0.0,1.0
2026-05-05T00:00:00.000Z,604.96,614.35,600.36,613.31,17171301,604.96,614.35,600.36,613.31,17171301,0.0,1.0
2026-05-06T00:00:00.000Z,612.88,619.95,598.1,601.05,19915460,612.88,619.95,598.1,601.05,19915460,0.0,1.0
2026-05-07T00:00:00.000Z,616.81,624.98,613.5401,614.72,12307372,616.81,624.98,613.5401,614.72,12307372,0.0,1.0
2026-05-08T00:00:00.000Z,609.63,616.77,606.0601,615.2,13556963,609.63,616.77,606.0601,615.2,13556963,0.0,1.0
2026-05-11T00:00:00.000Z,598.86,604.9069,598.0801,604.57,15940622,598.86,604.9069,598.0801,604.57,15940622,0.0,1.0
2026-05-12T00:00:00.000Z,603.0,603.745,592.6,594.815,11351559,603.0,603.745,592.6,594.815,11351559,0.0,1.0
2026-05-13T00:00:00.000Z,616.63,619.9,596.6601,598.83,14634394,616.63,619.9,596.6601,598.83,14634394,0.0,1.0
